line,sid,msg,status,category,reason,rule
2,108,MALWARE-BACKDOOR QAZ Worm Client Login access,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $EXTERNAL_NET any -> $HOME_NET 7597 ( msg:""MALWARE-BACKDOOR QAZ Worm Client Login access""; flow:to_server,established; content:""qazwsx.hsq""; metadata:ruleset community; classtype:misc-activity; sid:108; rev:12; )"
3,110,MALWARE-BACKDOOR netbus getinfo,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $EXTERNAL_NET any -> $HOME_NET 12345:12346 ( msg:""MALWARE-BACKDOOR netbus getinfo""; flow:to_server,established; content:""GetInfo|0D|""; metadata:ruleset community; classtype:trojan-activity; sid:110; rev:10; )"
8,121,MALWARE-BACKDOOR Infector 1.6 Client to Server Connection Request,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $EXTERNAL_NET 1000:1300 -> $HOME_NET 146 ( msg:""MALWARE-BACKDOOR Infector 1.6 Client to Server Connection Request""; flow:to_server,established; content:""FC ""; metadata:ruleset community; reference:nessus,11157; classtype:misc-activity; sid:121; rev:14; )"
9,141,MALWARE-BACKDOOR HackAttack 1.20 Connect,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $HOME_NET 31785 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR HackAttack 1.20 Connect""; flow:to_client,established; content:""host""; metadata:ruleset community; classtype:misc-activity; sid:141; rev:10; )"
10,144,PROTOCOL-FTP ADMw0rm ftp login attempt,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; pcre sem ancora de intervalo reconhecida pelo script; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 ( msg:""PROTOCOL-FTP ADMw0rm ftp login attempt""; flow:to_server,established; content:""USER"",nocase; content:""w0rm"",distance 1,nocase; pcre:""/^USER\s+w0rm/ims""; metadata:ruleset community; service:ftp; classtype:suspicious-login; sid:144; rev:16; )"
11,146,MALWARE-BACKDOOR NetSphere access,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $HOME_NET 30100:30102 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR NetSphere access""; flow:to_client,established; content:""NetSphere""; metadata:ruleset community; classtype:trojan-activity; sid:146; rev:13; )"
12,147,MALWARE-BACKDOOR GateCrasher,discarded,unsupported_payload_scan,pcre sem ancora de intervalo reconhecida pelo script,"alert tcp $HOME_NET 6969 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR GateCrasher""; flow:to_client,established; content:""GateCrasher"",depth 11,nocase; content:""Server"",distance 0,nocase; content:""On-Line..."",distance 0,nocase; pcre:""/^GateCrasher\s+v\d+\x2E\d+\x2C\s+Server\s+On-Line\x2E\x2E\x2E/ims""; metadata:policy max-detect-ips drop,ruleset community; reference:url,www.spywareguide.com/product_show.php?id=973; classtype:trojan-activity; sid:147; rev:12; )"
13,152,MALWARE-BACKDOOR BackConstruction 2.1 Connection,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $HOME_NET 5401:5402 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR BackConstruction 2.1 Connection""; flow:to_client,established; content:""c|3A 5C|""; metadata:ruleset community; classtype:misc-activity; sid:152; rev:11; )"
14,157,MALWARE-BACKDOOR BackConstruction 2.1 Client FTP Open Request,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $EXTERNAL_NET any -> $HOME_NET 666 ( msg:""MALWARE-BACKDOOR BackConstruction 2.1 Client FTP Open Request""; flow:to_server,established; content:""FTPON""; metadata:ruleset community; classtype:misc-activity; sid:157; rev:9; )"
15,158,MALWARE-BACKDOOR BackConstruction 2.1 Server FTP Open Reply,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; cabecalho/fluxo aparece junto de payload sem posicao segura,"alert tcp $HOME_NET 666 -> $EXTERNAL_NET any ( msg:""MALWARE-BACKDOOR BackConstruction 2.1 Server FTP Open Reply""; flow:to_client,established; content:""FTP Port open""; metadata:ruleset community; classtype:misc-activity; sid:158; rev:10; )"
