line,sid,msg,status,category,reason,rule
245,498,INDICATOR-COMPROMISE id check returned root,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip any any -> any any ( msg:""INDICATOR-COMPROMISE id check returned root""; content:""uid=0|28|root|29|""; metadata:ruleset community; classtype:bad-unknown; sid:498; rev:11; )"
277,566,APP-DETECT PCAnywhere server response,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET 5632 ( msg:""APP-DETECT PCAnywhere server response""; content:""ST"",depth 2; metadata:ruleset community; classtype:misc-activity; sid:566; rev:10; )"
296,588,PROTOCOL-RPC portmap ttdbserv request UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap ttdbserv request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 F3|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; reference:bugtraq,122; reference:bugtraq,3382; reference:cve,1999-0003; reference:cve,1999-0687; reference:cve,1999-1075; reference:cve,2001-0717; reference:url,www.cert.org/advisories/CA-2001-05.html; classtype:rpc-portmap-decode; sid:588; rev:27; )"
297,589,PROTOCOL-RPC portmap yppasswd request UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte; usa operador de payload sem intervalo absoluto reconhecido,"alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap yppasswd request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 A9|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; classtype:rpc-portmap-decode; sid:589; rev:16; )"
315,612,PROTOCOL-RPC rusers query UDP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-RPC rusers query UDP""; content:""|00 01 86 A2|"",depth 4,offset 12; content:""|00 00 00 02|"",within 4,distance 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0626; classtype:attempted-recon; sid:612; rev:12; )"
330,638,INDICATOR-SHELLCODE SGI NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE SGI NOOP""; content:""|03 E0 F8|%|03 E0 F8|%|03 E0 F8|%|03 E0 F8|%"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:638; rev:11; )"
331,639,INDICATOR-SHELLCODE SGI NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE SGI NOOP""; content:""|24 0F 12|4|24 0F 12|4|24 0F 12|4|24 0F 12|4"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:639; rev:11; )"
332,640,INDICATOR-SHELLCODE AIX NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE AIX NOOP""; content:""O|FF FB 82|O|FF FB 82|O|FF FB 82|O|FF FB 82|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:640; rev:11; )"
333,641,INDICATOR-SHELLCODE Digital UNIX NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE Digital UNIX NOOP""; content:""G|FF 04 1F|G|FF 04 1F|G|FF 04 1F|G|FF 04 1F|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:641; rev:12; )"
334,642,INDICATOR-SHELLCODE HP-UX NOOP,discarded,unsupported_payload_scan,content sem offset/depth/distance/within; padrao pode aparecer em qualquer byte,"alert ip $EXTERNAL_NET any -> $HOME_NET any ( msg:""INDICATOR-SHELLCODE HP-UX NOOP""; content:""|08|!|02 80 08|!|02 80 08|!|02 80 08|!|02 80|"",fast_pattern,nocase; metadata:ruleset community; classtype:shellcode-detect; sid:642; rev:12; )"
