line,sid,msg,status,category,reason,rule
82,279,SERVER-OTHER Bay/Nortel Nautica Marlin,review,size_dependent_rule,usa dsize/stream_size; a lavagem altera tamanho e pode exigir ajuste proprio,"alert udp $EXTERNAL_NET any -> $HOME_NET 161 ( msg:""SERVER-OTHER Bay/Nortel Nautica Marlin""; flow:to_server; dsize:0; metadata:policy max-detect-ips drop,ruleset community; reference:bugtraq,1009; reference:cve,2000-0221; classtype:attempted-dos; sid:279; rev:11; )"
145,375,PROTOCOL-ICMP PING LINUX/*BSD,review,size_dependent_rule,usa dsize/stream_size; a lavagem altera tamanho e pode exigir ajuste proprio,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING LINUX/*BSD""; dsize:8; id:13170; itype:8; metadata:ruleset community; classtype:misc-activity; sid:375; rev:10; )"
151,381,PROTOCOL-ICMP PING Oracle Solaris,review,size_dependent_rule,usa dsize/stream_size; a lavagem altera tamanho e pode exigir ajuste proprio,"alert icmp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-ICMP PING Oracle Solaris""; dsize:8; itype:8; metadata:ruleset community; classtype:misc-activity; sid:381; rev:11; )"
296,588,PROTOCOL-RPC portmap ttdbserv request UDP,review,relative_payload_position,"cadeia com distance/within ancorada, mas o adaptador atual ainda nao recalcula posicoes relativas; usa operador de payload ainda nao suportado automaticamente pelo adaptador","alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap ttdbserv request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 F3|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; reference:bugtraq,122; reference:bugtraq,3382; reference:cve,1999-0003; reference:cve,1999-0687; reference:cve,1999-1075; reference:cve,2001-0717; reference:url,www.cert.org/advisories/CA-2001-05.html; classtype:rpc-portmap-decode; sid:588; rev:27; )"
297,589,PROTOCOL-RPC portmap yppasswd request UDP,review,relative_payload_position,"cadeia com distance/within ancorada, mas o adaptador atual ainda nao recalcula posicoes relativas; usa operador de payload ainda nao suportado automaticamente pelo adaptador","alert udp $EXTERNAL_NET any -> $HOME_NET 111 ( msg:""PROTOCOL-RPC portmap yppasswd request UDP""; content:""|00 01 86 A0|"",depth 4,offset 12; content:""|00 00 00 03|"",within 4,distance 4; byte_jump:4,4,relative,align; byte_jump:4,4,relative,align; content:""|00 01 86 A9|"",within 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; service:sunrpc; classtype:rpc-portmap-decode; sid:589; rev:16; )"
309,606,PROTOCOL-SERVICES rlogin root,review,size_dependent_rule,usa dsize/stream_size; a lavagem altera tamanho e pode exigir ajuste proprio,"alert tcp $EXTERNAL_NET any -> $HOME_NET 513 ( msg:""PROTOCOL-SERVICES rlogin root""; flow:to_server,established; content:""root|00|root|00|"",depth 11; stream_size:1,to_client; metadata:policy max-detect-ips drop,policy security-ips drop,ruleset community; classtype:attempted-admin; gid:1; sid:606; rev:13; )"
315,612,PROTOCOL-RPC rusers query UDP,review,relative_payload_position,"cadeia com distance/within ancorada, mas o adaptador atual ainda nao recalcula posicoes relativas","alert udp $EXTERNAL_NET any -> $HOME_NET any ( msg:""PROTOCOL-RPC rusers query UDP""; content:""|00 01 86 A2|"",depth 4,offset 12; content:""|00 00 00 02|"",within 4,distance 4; content:""|00 00 00 00|"",depth 4,offset 4; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0626; classtype:attempted-recon; sid:612; rev:12; )"
661,1102,SERVER-WEBAPP nessus 1.X 404 probe,review,normalized_buffer_rule,usa buffer normalizado/camada de aplicacao; offset pode nao corresponder ao pacote bruto,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP nessus 1.X 404 probe""; flow:to_server,established; http_uri; content:""/nessus_is_probing_you_"",depth 32; metadata:ruleset community; service:http; classtype:web-application-attack; sid:1102; rev:16; )"
786,1253,PROTOCOL-TELNET bsd exploit client finishing,review,unsupported_payload_operator,usa operador de payload ainda nao suportado automaticamente pelo adaptador,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""PROTOCOL-TELNET bsd exploit client finishing""; flow:to_server,established; isdataat:200; raw_data; content:""|FF F6 FF F6 FF FB 08 FF F6|"",depth 50,offset 200; metadata:ruleset community; service:telnet; reference:bugtraq,3064; reference:cve,2001-0554; reference:nessus,10709; classtype:successful-admin; sid:1253; rev:24; )"
1329,1939,SERVER-OTHER bootp hardware address length overflow,review,unsupported_payload_operator,usa operador de payload ainda nao suportado automaticamente pelo adaptador,"alert udp $EXTERNAL_NET any -> $HOME_NET 67 ( msg:""SERVER-OTHER bootp hardware address length overflow""; flow:to_server; content:""|01|"",depth 1; byte_test:1,>,6,2; metadata:policy max-detect-ips drop,ruleset community; reference:cve,1999-0798; classtype:misc-activity; sid:1939; rev:10; )"
